source_path,target_path,kind,status,canonical_or_owner,notes
exam_format_spec.md,_archive/redirect-stubs-20260704/exam_format_spec.md,root_redirect_stub,archived,skills\retrieve\teaching-output-format\SKILL.md,旧 flat skill 跳转文件移入归档；正式调用走 registry.yaml + canonical SKILL.md。
exercise-bank-import.md,_archive/redirect-stubs-20260704/exercise-bank-import.md,root_redirect_stub,archived,skills\import\exercise-bank-import\SKILL.md,旧 flat skill 跳转文件移入归档；正式调用走 registry.yaml + canonical SKILL.md。
lecture-generation.md,_archive/redirect-stubs-20260704/lecture-generation.md,root_redirect_stub,archived,skills\retrieve\lecture-generation\SKILL.md,旧 flat skill 跳转文件移入归档；正式调用走 registry.yaml + canonical SKILL.md。
llmwiki-bge-m3-conventions.md,_archive/redirect-stubs-20260704/llmwiki-bge-m3-conventions.md,root_redirect_stub,archived,skills\_shared\conventions\llmwiki-bge-m3-conventions.md,旧 flat skill 跳转文件移入归档；正式调用走 registry.yaml + canonical SKILL.md。
llmwiki-maintenance.md,_archive/redirect-stubs-20260704/llmwiki-maintenance.md,root_redirect_stub,archived,skills\maintain\llmwiki-maintenance\SKILL.md,旧 flat skill 跳转文件移入归档；正式调用走 registry.yaml + canonical SKILL.md。
llmwiki-rag-retrieval.md,_archive/redirect-stubs-20260704/llmwiki-rag-retrieval.md,root_redirect_stub,archived,skills\retrieve\llmwiki-rag-retrieval\SKILL.md,旧 flat skill 跳转文件移入归档；正式调用走 registry.yaml + canonical SKILL.md。
md-to-docx.md,_archive/redirect-stubs-20260704/md-to-docx.md,root_redirect_stub,archived,skills\retrieve\md-to-docx\SKILL.md,旧 flat skill 跳转文件移入归档；正式调用走 registry.yaml + canonical SKILL.md。
standards-import.md,_archive/redirect-stubs-20260704/standards-import.md,root_redirect_stub,archived,skills\import\standards-import\SKILL.md,旧 flat skill 跳转文件移入归档；正式调用走 registry.yaml + canonical SKILL.md。
teaching-ppt-analysis.md,_archive/redirect-stubs-20260704/teaching-ppt-analysis.md,root_redirect_stub,archived,skills\analyze\teaching-ppt-analysis\SKILL.md,旧 flat skill 跳转文件移入归档；正式调用走 registry.yaml + canonical SKILL.md。
textbook-import.md,_archive/redirect-stubs-20260704/textbook-import.md,root_redirect_stub,archived,skills\import\textbook-import\SKILL.md,旧 flat skill 跳转文件移入归档；正式调用走 registry.yaml + canonical SKILL.md。
video-transcript-import.md,_archive/redirect-stubs-20260704/video-transcript-import.md,root_redirect_stub,archived,skills\import\video-transcript-import\SKILL.md,旧 flat skill 跳转文件移入归档；正式调用走 registry.yaml + canonical SKILL.md。
题库知识点标签目录.md,_archive/redirect-stubs-20260704/题库知识点标签目录.md,root_redirect_stub,archived,skills\taxonomy\exercise-knowledge-tags\SKILL.md,旧 flat skill 跳转文件移入归档；正式调用走 registry.yaml + canonical SKILL.md。
import/exercise-bank-import/references/_migration_sources,_archive/migration-sources-20260704/import/exercise-bank-import/references/_migration_sources,migration_source_history,archived,import/exercise-bank-import/references,迁移来源材料不放在 active references，统一归档。
import/standards-import/references/_migration_sources,_archive/migration-sources-20260704/import/standards-import/references/_migration_sources,migration_source_history,archived,import/standards-import/references,迁移来源材料不放在 active references，统一归档。
import/textbook-import/references/_migration_sources,_archive/migration-sources-20260704/import/textbook-import/references/_migration_sources,migration_source_history,archived,import/textbook-import/references,迁移来源材料不放在 active references，统一归档。
import/video-transcript-import/references/_migration_sources,_archive/migration-sources-20260704/import/video-transcript-import/references/_migration_sources,migration_source_history,archived,import/video-transcript-import/references,迁移来源材料不放在 active references，统一归档。
retrieve/llmwiki-rag-retrieval/references/_migration_sources,_archive/migration-sources-20260704/retrieve/llmwiki-rag-retrieval/references/_migration_sources,migration_source_history,archived,retrieve/llmwiki-rag-retrieval/references,迁移来源材料不放在 active references，统一归档。
retrieve/md-to-docx/references/_migration_sources,_archive/migration-sources-20260704/retrieve/md-to-docx/references/_migration_sources,migration_source_history,archived,retrieve/md-to-docx/references,迁移来源材料不放在 active references，统一归档。
临时代码/migrate_skill_runtime_assets.py,_archive/temp-scripts-20260704/skill-runtime-migration/migrate_skill_runtime_assets.py,one_off_temp_script,archived,skill-library-runtime-migration,一次性迁移脚本；运行价值已沉淀到 registry/manifest/runtime wrapper，脚本归档不作为正式入口。
临时代码/migrate_pix2text_hermes_venv.py,_archive/temp-scripts-20260704/skill-runtime-migration/migrate_pix2text_hermes_venv.py,one_off_temp_script,archived,skill-library-runtime-migration,一次性迁移脚本；运行价值已沉淀到 registry/manifest/runtime wrapper，脚本归档不作为正式入口。
